"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016",
"Aruba","ABW","Commercial service exports (current US$)","TX.VAL.SERV.CD.WT","","","","","","","","","","","","","","","","","","","","","","","","","","","204525139.664804","246983240.223464","312905027.932961","338324022.346369","398435754.189944","463743016.759776","558770949.720671","588156424.581006","604692737.430168","627094972.067039","752011173.184357","798882681.564245","877486033.519554","950251396.648044","1564145251.39665","1813111731.84357","1207329608.93854","1592653631.28492","1237558659.21788","1290974074.76216","1289802865.68629","1452402234.63687","1586368715.08379","1518324022.34637","1545251396.64805","1663296089.38547","1741117318.43575","1858547486.03352","2017765363.1285","2064245810.05587","",
"Andorra","AND","Commercial service exports (current US$)","TX.VAL.SERV.CD.WT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Commercial service exports (current US$)","TX.VAL.SERV.CD.WT","","","","","","","","","","","","","","","","","","","","56800000","3000000","8100000","4500000","6000000","12200000","17100000","700000","2000000","300000","700000","","","","","","","","","","","","","","","","","","","1117897111.07462","1744639603.2576","2059324062.30117","2684304013.58709","1390607754.1182","929194771.124646","1151792913.74851","621827877.752474","",
"Angola","AGO","Commercial service exports (current US$)","TX.VAL.SERV.CD.WT","","","","","","","","","","","","","","","","","","","","","","","","","","129000000","116000000","93000000","128000000","150000000","64600000","117400000","95144000","89200000","150200000","113058000","225873000","138540000","121830000","152980000","267280000","202500000","206791017","201083912.5","322767646","176825253.59","1484233231.82","310711817.82","329450105.74","623201630.99","856877283.29","732259285.163651","780010051.961355","1315703839.48478","1681346774.64513","1256163317.86066","",
"Albania","ALB","Commercial service exports (current US$)","TX.VAL.SERV.CD.WT","","","","","","","","","","","","","","","","","","","","","10900000","12000000","13200000","13000000","15400000","15000000","16000000","22300000","29600000","40200000","31500000","9200000","18900000","73200000","78600000","93900000","122800000","-3220000","32630000","281600000","440300000","509400000","549180000","720922115.774249","1094524922.14689","1256252082.24563","1623045575.35294","2082535789.35781","2673718086.97043","2588596179.88905","2535636314.49144","2775588964.94791","2384286698.42196","2241774617.11555","2455288612.19456","2207898367.56602","",
"Arab World","ARB","Commercial service exports (current US$)","TX.VAL.SERV.CD.WT","","","","","","","","","","","","","","","","","","10242432184.4076","11570781705.5135","18180279771.7989","22080881977.4275","26146675384.7141","22411133791.8896","21591437654.7925","21792096122.9997","22079896741.0422","20450408064.3781","22093287092.9867","25093167544.7707","23501239227.5673","27337016731.5005","27952182326.9648","34357138795.4933","34378791977.59","37253083248.6861","39545851509.006","41280810312.9566","43470818798.3307","43828001632.0383","48294202296.911","48517195664.6316","48640246913.8965","50867555037.7699","65037144455.6856","79120340333.0749","95723924437.3803","114207092096.132","135803344317.443","151774953855.598","144187711528.765","152645477749.483","143623932652.754","145682815781.294","140744070607.621","151127603156.456","147368316791.435","",
"United Arab Emirates","ARE","Commercial service exports (current US$)","TX.VAL.SERV.CD.WT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Argentina","ARG","Commercial service exports (current US$)","TX.VAL.SERV.CD.WT","","","","","","","","","","","","","","","","","547000000","775000000","903000000","1076000000","1427000000","1576000000","1513000000","1405000000","1449000000","1599000000","1529000000","1731000000","1894000000","2086000000","2264000000","2174000000","2842100000","2885460000","3180600000","3664500000","4239554642.49289","4430771471.35522","4694769562.61265","4548118724.6817","4739520314.83402","4431053076.83113","3353200000","4304820000","5082380000","6342850000","7713370000","10006600000","11688660000","10541755621.9638","13172812033.1311","15088280811.804","14813220129.542","14368646656.0975","13530647075.7573","13735139795.3784","",
"Armenia","ARM","Commercial service exports (current US$)","TX.VAL.SERV.CD.WT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17280000","12230000","26700000","75109934.8218781","98546191.808224","120271484.191088","132537724.632423","133766597.214579","185541480.295612","185281877.430557","248716372.475292","338786931.987878","421805359.502679","584125917.280424","755014433.252569","827896561.867145","776242607.732695","1001373794.38128","1285719218.47949","1375995815.9001","1493145420.24827","1594478498.49386","1483771277.5171","",
"American Samoa","ASM","Commercial service exports (current US$)","TX.VAL.SERV.CD.WT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Commercial service exports (current US$)","TX.VAL.SERV.CD.WT","","","","","","","","","","","","","","","","","","24700000","29500000","38200000","44600000","52500000","51700000","62800000","132100000","150300000","171925925.925926","198244444.444444","234896296.296296","258507407.407408","308318518.518518","311307407.407407","329092592.592593","373592592.592593","391440740.740741","348048148.148148","364096296.296296","402422222.222222","424959259.25926","427408444.444444","405616403.703704","392887037.037037","388931020.740741","412703493.333333","470509827.777778","454164445.185185","462199451.481481","510003991.851852","547336958.518518","499283321.851852","466123480","469419105.925926","470097680.740741","452410221.851852","","","",
"Australia","AUS","Commercial service exports (current US$)","TX.VAL.SERV.CD.WT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8749310536.69197","10010586953.4532","10834418613.3529","11311082757.2417","12243858363.8817","14181809312.3812","16460767332.2269","18902609545.8193","18993659783.747","16933424945.6055","18442319038.4082","19467553346.3526","17533713385.3057","19060025688.0644","23145253087.2715","27261404024.2344","29956607671.3876","32554328973.4497","39847364244.1375","43056334510.0432","39680009492.6334","45663841243.4365","51305289981.8163","53020604314.7971","52639895099.6499","53345209562.9849","48768682656.7632","",
